	Model Cluster	p Value Log	Odds Ratio	Description	Antibody	Size	Cluster Site - TF Region Overlap (a)	TF Region Only (b)	Cluster Site Only (c)	Assessed Methylation Background (d)	ENOCDE File
3912	5	0.3187667361553731	1.1076518507007285	encode_v4_hg19 ZNF205	ZNF205	18941.0	5	31523	65	453919	ENCFF978GOF.bed
3913	4	0.31869559560562305	1.5471362708343614	encode_v4_hg19 ZSCAN18	ZSCAN18	2989.0	1	5443	57	480011	ENCFF324BAV.bed
3914	7	0.3183793039362288	1.1649639023995566	encode_v4_hg19 HNF4G	HNF4G	24896.0	3	13503	90	471916	ENCFF123FQW.bed
3915	7	0.3182660131003884	1.5382113445864563	encode_v4_hg19 CHAMP1	CHAMP1	5103.0	1	3406	92	482013	ENCFF541VYN.bed
3916	3	0.318181232897035	1.0422306572434414	encode_v4_hg19 SOX5	SOX5	40951.0	14	33878	179	451441	ENCFF070XVL.bed
3917	2	0.31779746755011257	1.2661691820253898	encode_v4_hg19 AHDC1	AHDC1	26819.0	2	25925	28	459557	ENCFF048HNT.bed
3918	2	0.3177256233023271	1.5595422919367758	encode_v4_hg19 ZNF101	ZNF101	3928.0	1	10502	29	474980	ENCFF373KUZ.bed
3919	3	0.3174703558380706	1.0440608928660489	encode_v4_hg19 ZMYM3	ZMYM3	36388.0	13	31400	180	453919	ENCFF640TCA.bed
3920	6	0.3170817861569754	1.5292604398772496	encode_v4_hg19 NFE2	NFE2	3501.0	1	2467	128	482916	ENCFF306ZFX.bed
3921	4	0.3169831815155435	1.1298338376127655	encode_v4_hg19 YY1	YY1	20766.0	4	29869	54	455585	ENCFF329MHR.bed
3922	4	0.3168880648906205	1.1296726360883864	encode_v4_hg19 CTCF	CTCF	34505.0	4	29873	54	455581	ENCFF484HIN.bed
